countrys,life,GDP,shiye,shiyefl,wangmin,wangminfl,fat,fatfl,country
阿富汗,-23.7,-1.47,0,中,0.80 ,d,0.11,d,Afghanistan
阿尔巴尼亚,2.8,-0.42,0.03,低,0.25 ,g,2.5,g,Albania
阿尔及利亚,1.4,-0.15,0.56,低,0.19 ,d,3.42,g,Algeria
美属萨摩亚,-1.9,-0.55,1.51,g,0.41 ,d,,,American Samoa
安道尔共和国,7.1,3.32,0.05,低,0.84 ,g,3.13,g,Andorra
安哥拉,-15.2,-0.99,0.69,g,0.76 ,d,0.32,g,Angola
安圭拉岛,5.8,-0.45,1.05,g,0.53 ,g,,,Anguilla
安提瓜和巴布达,1.1,0.97,0.74,低,0.23 ,g,2.05,g,Antigua and Barbuda
阿根廷,1.7,0.42,1.15,g,0.32 ,g,3.56,g,Argentina
亚美尼亚,-0.7,-0.72,1.28,g,0.17 ,g,2.26,g,Armenia
阿鲁巴岛,1.3,2.08,0.97,g,0.76 ,g,,,Aruba
澳大利亚,6.6,3.37,0.44,g,0.66 ,g,3.68,g,Australia
奥地利,5.9,3.33,0.41,g,0.58 ,g,2.24,g,Austria
阿塞拜疆,-2.8,0.08,0.28,g,0.47 ,g,2.21,g,Azerbaijan
巴哈马,-2.9,1.57,0.97,低,0.50 ,g,4.1,g,"Bahamas, The"
巴林,3.3,3.23,0.08,低,0.84 ,g,3.81,g,Bahrain
孟加拉共和国,-2.1,-1.25,0.13,g,0.66 ,d,0.42,d,Bangladesh
巴巴多斯岛,-0.1,0.19,0.97,低,0.49 ,g,2.73,g,Barbados
白俄罗斯,-2.6,0.22,0.79,低,0.34 ,g,2.95,g,Belarus
比利时,5.4,2.99,0.82,g,0.63 ,g,2.56,g,Belgium
伯利兹,-1.1,-0.84,1.31,g,0.16 ,d,2.89,g,Belize
贝宁湾,-13.1,-1.44,0.74,低,0.77 ,d,0.55,g,Benin
百慕大群岛,5.7,8.27,0.79,g,0.84 ,g,,,Bermuda
不丹,-4.7,-0.77,0.18,低,0.21 ,d,0.03,g,Bhutan
玻利维亚,-6,-0.91,0.03,g,0.25 ,d,2.26,g,Bolivia
波斯尼亚和黑塞哥维那,1.3,-0.39,0.87,低,0.30 ,g,1.89,g,Bosnia and Herzegovina
博茨瓦纳,-12,0.03,1,低,0.26 ,d,2.05,g,Botswana
巴西,-1.5,-0.11,0.28,低,0.12 ,g,2.56,g,Brazil
英属维京群岛,3.1,1.75,0.26,低,0.18 ,d,,,British Virgin Islands
文莱,1.7,6.22,0.77,g,0.34 ,g,1.27,g,Brunei
保加利亚,-1,0.51,0.59,g,0.12 ,g,3.03,g,Bulgaria
布基纳法索,-14,-1.48,0.79,g,0.74 ,d,0.1,d,Burkina Faso
缅甸,-7.2,-1.04,0.03,g,0.53 ,d,0.06,d,Burma
布隆迪,-14.4,-1.6,,,0.90 ,d,0.13,d,Burundi
佛得角,-3.1,-0.97,1.31,g,0.09 ,d,0.9,g,Cabo Verde
柬埔寨,-10.6,-1.27,0.92,低,0.52 ,d,0.37,d,Cambodia
喀麦隆,-16.4,-1.3,0.1,g,0.53 ,d,0.84,g,Cameroon
加拿大,6.2,3.17,0.62,g,0.69 ,g,3.74,g,Canada
开曼群岛,5.6,2.71,0.03,g,0.48 ,g,,,Cayman Islands
中非共和国,-22.5,-1.6,0.77,g,0.91 ,d,0.21,g,Central African Republic
乍得湖,-18.3,-1.44,,,0.91 ,d,0.02,d,Chad
智利,3.3,0.79,0.72,g,0.24 ,g,3.52,g,Chile
哥伦比亚,0.4,-0.23,1.38,g,0.09 ,g,2.6,g,Colombia
科摩罗,-10.9,-1.51,0.67,g,0.85 ,d,0.26,g,Comoros
刚果民主共和国,-17.7,-1.59,,,0.93 ,d,0.08,g,"Congo, Democratic Republic of the"
刚果共和国,-15.5,-0.99,0.54,g,0.86 ,d,0.55,g,"Congo, Republic of the"
库克群岛,0.4,0,0.21,低,0.02 ,g,8.02,g,Cook Islands
哥斯达黎加,3.1,0.02,1.08,g,0.24 ,g,3.15,g,Costa Rica
科特迪瓦,-15.7,-1.28,1.41,g,0.50 ,d,0.66,g,Cote d'Ivoire
克罗地亚,0.5,0.8,0.38,低,0.37 ,g,2.94,g,Croatia
古巴,3.1,-0.44,0.33,低,0.27 ,d,2.97,g,Cuba
桔皮利乔酒,2.8,-0.17,0.23,低,0.77 ,g,,,Curacao
塞浦路斯,3.2,2.05,0.72,低,0.43 ,g,2.52,g,Cyprus
捷克,3.1,1.88,0.26,低,0.44 ,g,3.19,g,Czechia
丹麦,5.2,3.34,0.46,g,0.82 ,g,2.18,g,Denmark
吉布提,-11.8,-1.31,1,低,0.75 ,d,1.18,g,Djibouti
多米尼加,1.6,-0.57,0.23,低,0.26 ,g,3.5,g,Dominica
多米尼加共和国,-4.5,0.03,0.31,g,0.15 ,g,3.45,g,Dominican Republic
厄瓜多尔,1.3,-0.52,0.18,g,0.02 ,g,2.21,g,Ecuador
埃及,-2.6,-0.4,0.44,低,0.26 ,d,4.16,g,Egypt
萨尔瓦多,-0.7,-0.87,0.79,g,0.45 ,d,2.97,g,El Salvador
赤道几内亚,-10.8,2.07,1.21,g,0.55 ,d,0.29,g,Equatorial Guinea
厄立特里亚,-10.2,-1.51,0.49,g,0.98 ,d,0.19,d,Eritrea
爱沙尼亚,1.2,1.5,0.49,g,0.64 ,g,2.42,g,Estonia
斯威士兰,-18.6,-0.66,1.05,g,0.46 ,d,1.66,g,Eswatini
埃塞俄比亚,-12.8,-1.45,0.92,g,0.71 ,d,0.27,d,Ethiopia
法罗群岛,4.8,2.33,0.44,低,0.79 ,g,,,Faroe Islands
斐济,-2.6,-0.69,0.15,g,0.13 ,d,3.87,g,Fiji
芬兰,5.3,2.78,1.18,g,0.65 ,g,2.58,g,Finland
法国,6.2,2.74,1.41,g,0.61 ,g,2.48,g,France
法属玻利尼西亚,1.7,0.03,0.54,低,0.29 ,g,,,French Polynesia
加蓬,-7.8,0.14,1.05,g,0.10 ,d,1.42,g,Gabon
